"","V1","V2"
"1115","plaguey","anger"
"1116","plaguy","anger"
"1125","pout","anger"
"1133","prehensil","anger"
"1134","prehensile","anger"
"1149","provok","anger"
"1150","provoked","anger"
"1157","quick_temp","anger"
"1158","quick_temper","anger"
"1159","rag","anger"
"1160","rage","anger"
"1161","rancor","anger"
"1162","rancour","anger"
"1194","resent","anger"
"1195","resentful","anger"
"1196","resentfully","anger"
"1197","resentment","anger"
"1200","reveng","anger"
"1201","revengefully","anger"
"1207","rile","anger"
"1208","riled","anger"
"1211","roil","anger"
"1212","roiled","anger"
"1253","scene","anger"
"1256","score","anger"
"1257","scorn","anger"
"1260","see_r","anger"
"1261","see_red","anger"
"1281","short_temp","anger"
"1282","short_temper","anger"
"1309","sore","anger"
"1318","spite","anger"
"1319","spiteful","anger"
"1320","spitefulness","anger"
"1321","spleen","anger"
"1325","stew","anger"
"1330","stung","anger"
"1343","sulk","anger"
"1344","sulki","anger"
"1345","sulkiness","anger"
"1346","sulky","anger"
"1370","tantal","anger"
"1371","tantalize","anger"
"1372","tantrum","anger"
"1378","teas","anger"
"1381","teasing","anger"
"1382","temper","anger"
"1393","the_green-eyed_monst","anger"
"1394","the_green-eyed_monster","anger"
"1419","torment","anger"
"1439","umbrag","anger"
"1440","umbrage","anger"
"1441","umbrageous","anger"
"1466","veng","anger"
"1467","vengefully","anger"
"1468","vengefulness","anger"
"1469","venom","anger"
"1470","vex","anger"
"1471","vexat","anger"
"1472","vexati","anger"
"1473","vexation","anger"
"1474","vexatious","anger"
"1475","vexed","anger"
"1476","vexing","anger"
"1478","vindict","anger"
"1479","vindictive","anger"
"1480","vindictively","anger"
"1481","vindictiveness","anger"
"1489","warpath","anger"
"1504","with_hostil","anger"
"1505","with_hostility","anger"
"1530","wrath","anger"
"1531","wrathful","anger"
"1532","wrathfully","anger"
"1535","wroth","anger"
"1536","wrothful","anger"
